 NT G1 G2 G3 sum
ADIPOR1 0.016249636723267732 0.005199436156440204 0.00504523550340403 0.006035806588046294 0.03253011497115826
KIAA0664 0.012234064124651972 0.0023247186744812525 0.005132296393117613 0.005704945611850546 0.025396024804101382
RGS12 0.00855237025732184 0.004458013499356859 0.005703803522426152 0.004403225753679617 0.023117413032784466
C2orf79 0.00952490222750323 0.0026309004887163116 0.005164123167266212 0.004356167417642004 0.021676093301127755
HOXA10 0.00915161178942776 0.0016446652180598157 0.004299366985876669 0.003927621354986977 0.01902326534835122
AURKB 0.009068032267535584 0.0017848252450882456 0.0033976322464190785 0.004449666277240406 0.018700156036283312
SPC24 0.008635708579574058 0.0020350696038553707 0.00396213694779777 0.0031653534272084436 0.017798268558435644
TBX15 0.007726370870792795 0.0019991603643187477 0.0027137770619398336 0.003147961780606428 0.015587270077657806
AGRN 0.007229848148361001 0.0025337791505591167 0.0026828099584161984 0.0028099311320401964 0.015256368389376513
C22orf24 0.007224094426632395 0.0016257705425149957 0.003375362357823773 0.0025377904940494774 0.01476301782102064
OSR2 0.007011741062215424 0.001278865607115139 0.0033384709381319363 0.0027635011235468037 0.014392578731009301
HDAC11 0.004676097914207146 0.003601062498008901 0.003003335908948127 0.0030867992408111855 0.01436729556197536
ATPGD1 0.00682599709647688 0.001978977524599504 0.0026875749177696453 0.002453854779980924 0.013946404318826952
ZNF354B 0.005814488341024422 0.0012777394170379536 0.002972327276317901 0.002511362662305002 0.012575917696685278
SLC27A3 0.004919834672902013 0.004588911531433854 0.0015033480517512177 0.0015591508646809141 0.012571245120767998
CDC42SE2 0.005960724739093156 0.0015656656105829051 0.0024119126515357195 0.0025026985154426693 0.01244100151665445
MGC13005 0.005714899031790138 0.0011696628803371189 0.0026340112123510533 0.002700869650152173 0.012219442774630484
RGS22 0.005668154710521878 0.0010269909288342209 0.0027923497707230726 0.0024598503311317405 0.01194734574121091
DHX58 0.00030799277824623773 0.005252830045358444 0.001912036200366524 0.0032617373270125392 0.010734596350983745
ATXN1 0.005242822314638904 0.0015099363565466175 0.0014937916085986723 0.0024466350574920233 0.010693185337276218
ZNF232 0.004900624565521339 0.001361122989190629 0.0017381901647608457 0.0019587557855044865 0.0099586935049773
NCOA6 0.004277738616254657 0.001364577381221432 0.0016928538945360425 0.002606602851212653 0.009941772743224785
FGL1 0.004175625065214478 0.0010703723188567626 0.0012961114011118015 0.0023642212169298206 0.008906330002112862
VAX2 0.0007544456122517892 0.0031657152381984145 0.0008500876545992758 0.004041303398695637 0.008811551903745118
NOL7 0.0038698862423557556 0.0009983721101749267 0.0021473163636659956 0.001317469220670674 0.008333043936867351
ARAP1 0.003994901127248585 0.001398008534504817 0.001375023367145463 0.001450844890074424 0.00821877791897329
ANXA2 0.002789305944168599 0.0015795728354635937 0.0017881668064318088 0.0018687090680046428 0.008025754654068644
APOL3 0.00041969317741961395 0.0031118358586456575 0.0008109881638496588 0.0033003715855317224 0.007642888785446653
CYB5R2 0.003412495134258805 0.0008109701091806087 0.0015277291293883722 0.0015050293584644614 0.007256223731292246
ISL2 0.0034525839661935253 0.0007192825636285403 0.001889448759147969 0.0011637584137799781 0.007225073702750013
CBY3 0.0032979787920183893 0.0007572641823801434 0.0010415721303033295 0.002099091524022921 0.007195906628724784
HMGXB4 0.002079700063562627 0.0015591201426453888 0.0015318900095885025 0.00200529815901627 0.007176008374812788
PITX3 0.0033317941698896916 0.0006811699199909345 0.001923998490215901 0.0011797231875776328 0.00711668576767416
