 NT G1 G2 G3 sum
KCNQ1 0.0005101019379266634 0.001552820689471145 0.005396864329900065 0.005586395575061456 0.01304618253235933
CDKL2 0.0005474536674299061 0.0005975124116281534 0.006620953547929452 0.004142659770750525 0.011908579397738036
RAB22A 0.00025723711313818887 0.003362451123909467 0.004426341887784344 0.001138796385898835 0.009184826510730834
E2F6 0.00047780180755884334 0.0007948259078579252 0.005096672870237533 0.0027719559436742073 0.009141256529328508
PIGB 0.0006189200013109802 0.002667815418021475 0.0009658606290392617 0.0046669418048314835 0.0089195378532032
S100A2 0.0008285345131636777 0.001268556407567678 0.0009750838616268647 0.005680404544367048 0.008752579326725268
NEDD1 0.0004991212469286351 0.0016237387456260583 0.004750135635142949 0.0018370593910141974 0.008710055018711839
C1orf77 0.00032905717845912715 0.0007491900605066818 0.004308753874190747 0.0029699442298634026 0.008356945343019959
PLD1 0.0008473881639554087 0.003124513028870099 0.0011460037644663858 0.0021681273573328033 0.007286032314624696
BMP4 0.0007990685788034271 0.0011983201248391172 0.002284537535201175 0.002929822178556828 0.007211748417400547
NUMA1 0.0007033965365641746 0.0008715118400386423 0.002271678759722283 0.0031925617388492518 0.007039148875174352
PAPLN 0.0006311936986154323 0.00262815043627645 0.0006338655137854582 0.0029933423523105826 0.006886552000987923
ATPGD1 0.0008946981609936972 0.001107903942227398 0.0034215444143863285 0.0012409462075185914 0.006665092725126015
C9orf27 0.0005222397400480316 0.0023548915469478672 0.002844505725627762 0.0007628595699316266 0.006484496582555287
BOLL 0.0003332330904204 0.0006218973473227822 0.0015756954759826307 0.003461830873217482 0.005992656786943295
DMP1 0.0003638348435591136 0.0033357805871627212 0.001128777228353185 0.0011213471145807745 0.005949739773655794
DUSP10 0.0006171379095006969 0.0005686885589403787 0.0013053888339610666 0.003173460591445036 0.005664675893847178
C17orf90 0.0003996242985021539 0.0023493863975201515 0.0025629337589205695 0.00030653451166868487 0.0056184789666115596
TRAF2 0.00030843895410331124 0.0003971710161268625 0.001236699091836498 0.003604382295327506 0.005546691357394178
COLEC11 0.0004919715503871737 0.0008247463002792856 0.002581187965277163 0.00161992989204569 0.005517835707989312
ITM2C 0.00025341587412372154 0.0004691618098266255 0.0013997705780067278 0.003191351585037512 0.005313699846994587
SERPINE2 0.0005321114523223977 0.00131487476752338 0.002586116250834343 0.0008413725197081093 0.00527447499038823
RUNX3 0.00048160830213765356 0.0007281661926283181 0.002882859414086155 0.0011705745149802583 0.005263208423832384
ABCA4 0.00045267718081739493 0.0005407816304990716 0.0017217468863645405 0.002464060143504632 0.005179265841185639
CES4 0.00041358504944144877 0.0007387154463110806 0.0020899965436570462 0.0018823682468789116 0.0051246652862884864
NCOA6 0.0008433778739218125 0.0003760344807553743 0.0009874452484313705 0.002842046748307902 0.00504890435141646
ABLIM1 0.0002904788908615589 0.0020695231432233743 0.0017381357612532762 0.0008767740363256826 0.004974911831663892
C16orf81 0.0006542190866212732 0.001149175985928648 0.00039375908728323666 0.0027668211772976853 0.004963975337130843
GSTM5 0.00042374682220206036 0.0004869993067189874 0.0020249173973967086 0.0019479602056003925 0.0048836237319181495
C17orf69 0.0006053081025081524 0.0013610198425824545 0.002269023154906282 0.0005943637486954777 0.004829714848692367
NDN 0.0005076781676188585 0.0012098241040078034 0.0019631229960986396 0.0010426581864880088 0.00472328345421331
HOXD4 0.000495378213626176 0.0010546010028523426 0.000684193693191786 0.0024069441612440535 0.004641117070914358
SLC2A8 0.0005612916777845689 0.0006584393608264703 0.0016920162847298063 0.0015899806121863706 0.004501727935527216
SMPD3 0.00026800312388822976 0.0024781591459389603 0.0010186205792767696 0.0005503437812302924 0.004315126630334252
C15orf26 0.0005885163744625443 0.0007229300837210465 0.00196975018204639 0.0010305817940306364 0.0043117784342606175
HOXD3 0.0005579493701544395 0.0006529904482703575 0.001344833486568193 0.0017539833783606809 0.004309756683353671
LIME1 0.0003799093348476082 0.0016644508552055791 0.0016465168879543652 0.0005877982447843732 0.004278675322791926
OR8B4 0.0002213933418558184 0.0003429289119653054 0.0013437954318752817 0.002261396089276479 0.004169513774972884
TC2N 0.0005431345082846577 0.0018502345509839653 0.0005531426277227308 0.0011955053645124494 0.004142017051503803
ENO1 0.0003816622263590907 0.00043512540603920055 0.0010790475570352184 0.002111125700097726 0.0040069608895312355
ATXN1 0.0013087804457590237 0.0006540174300857958 0.0004465338250530077 0.0015969401427998616 0.004006271843697689
