 NT G1 G2 G3 sum
KCNQ1 0.0007117687541277217 0.0019895180129795957 0.006622760893689206 0.005253799706849903 0.014577847367646427
S100A2 0.0010230199101464894 0.0012532377310312706 0.0014221226923006609 0.00673987880671546 0.010438259140193881
COLEC11 0.0003942995638554428 0.0013343706225563679 0.004882780279667523 0.0030466558118093603 0.009658106277888694
RAB22A 0.0003706926318340357 0.002691259574982929 0.005029216789499455 0.0015131275468566036 0.009604296543173022
CDKL2 0.0004630633186815516 0.0006679391789250627 0.005225864362657994 0.003091156621339725 0.009448023481604334
PIGB 0.0005429746497077044 0.0029648773507694056 0.0007295739940292211 0.005137590779800694 0.009375016774307025
E2F6 0.0004091129610746504 0.0007663034980234895 0.004994254874351138 0.003078380421046463 0.00924805175449574
PLD1 0.0007910914204425617 0.003893681290959179 0.0012817356016240945 0.0021457664850151725 0.008112274798041007
PAPLN 0.00046054434895250444 0.003395766940277131 0.0008373437538985026 0.0032164427320949527 0.00791009777522309
SERPINE2 0.0005377561153951657 0.0017344015018839747 0.0036941622671396836 0.0017705237721062823 0.007736843656525106
NEDD1 0.00043997028666925764 0.0007551870137445776 0.0039767475175339516 0.002525919588251386 0.007697824406199172
C1orf77 0.0004047476417174204 0.0007226564719036968 0.0034606286812610258 0.002761591952389756 0.0073496247472719
SLC2A8 0.0004935287579781437 0.0009782075625565463 0.0029451581683678507 0.002692185028317372 0.0071090795172199135
NUMA1 0.0002876043588142531 0.000845620574623791 0.0029730708795430373 0.0029943011769550934 0.0071005969899361745
C17orf69 0.0004820176645304494 0.0014197648681349387 0.003662304885034922 0.001302843853641319 0.0068669312713416295
BMP4 0.0007041408076107504 0.0012020695106701744 0.002189496388961091 0.002692670840343337 0.006788377547585353
ENO1 0.0004344260418374131 0.0005165326855463301 0.0023161657035896447 0.0034486496067615132 0.006715774037734901
BOLL 0.00038212619572081363 0.0008422687996612426 0.0019239290346558236 0.003444499784918345 0.006592823814956225
DMP1 0.0005485159782432908 0.003458308534862799 0.0013004602297343995 0.001189631853824196 0.006496916596664686
SIX3 0.00030323357574240544 0.00039534801463784466 0.0028415576656739714 0.0027559861823831236 0.006296125438437345
NCOA6 0.0009424394122175999 0.0006088106881173241 0.0008175119363259863 0.003743149757515539 0.00611191179417645
C17orf90 0.00032231293785402263 0.00232169712188664 0.002872888682118259 0.0005177914773266985 0.00603469021918562
C16orf81 0.0003546421882340968 0.0011627317915300236 0.0006383533219656999 0.0038501334674550204 0.006005860769184841
ITM2C 0.00030901343068292147 0.000519676570381471 0.0013558886101381663 0.0035604955380514 0.005745074149253959
NDN 0.0003966786935425865 0.0014764857108960203 0.0024400091542592798 0.0013075077417440315 0.0056206813004419185
SMPD3 0.0005885936559015768 0.003134867365039664 0.0013767105409298003 0.0005040909833071881 0.0056042625451782286
ATPGD1 0.0005244104564792696 0.0006392367984008381 0.003112736774058261 0.001317528724373202 0.005593912753311571
TRAF2 0.0004488899760928141 0.000349588617299941 0.0011191396013803681 0.003480056371805476 0.0053976745665786
HOXD4 0.00041263329794555894 0.0013156967156085278 0.0010903677103680366 0.002563999790412088 0.005382697514334211
SPAG6 0.00028891131038708305 0.0005282346699243232 0.0025393120567224615 0.002024625845962078 0.0053810838829959455
CES4 0.0003586564869274668 0.0010888757824675682 0.00242329932978685 0.0014518394744300234 0.005322671073611908
VASH1 0.0006271942104599292 0.002468329918794156 0.0014575246755996832 0.0007448885324642786 0.005297937337318047
NAPSB 0.00048795562364498254 0.0010910490478970363 0.001954597479671853 0.0017369265410383515 0.0052705286922522234
C9orf27 0.0003327597527159657 0.0016099946290664955 0.002085717291563543 0.001078753191378433 0.0051072248647244375
ITPKB 0.00028410381194686333 0.0003639458354444746 0.002164497965517269 0.0022380299211383218 0.005050577534046929
RUNX3 0.000442200792359771 0.0005346680379817252 0.002660639641711444 0.0012677991066395169 0.004905307578692457
AQP10 0.000698173076236216 0.0014506839774757465 0.000980952902332963 0.0017293683272165967 0.004859178283261522
ANXA2 0.0005140370839034796 0.0010735514491736226 0.0009515356341415022 0.002224023354090473 0.004763147521309078
TC2N 0.0005384766400634 0.0023276650022001294 0.0005882878202356929 0.0012879382371816196 0.004742367699680842
TMEM173 0.00028828803168600873 0.0017580723497488966 0.001955583070579843 0.00068174204805982 0.0046836855000745685
OVOL1 0.0005940931086172355 0.0006139595029878863 0.0012336458862823767 0.0021640306334807435 0.004605729131368242
C1orf70 0.0005919372571999429 0.001733217010909056 0.0007572015047540036 0.0014332561301770227 0.004515611903040026
GAL3ST3 0.0005453935098605728 0.002298414604759696 0.000966682755073131 0.0006509652132856901 0.00446145608297909
HOXD3 0.0005385155523998963 0.0003876173083209685 0.00129814920136938 0.0021996554392534604 0.0044239375013437054
MIR10B 0.0007652690195817541 0.0012965337852511817 0.0012587466709035112 0.0010774609534733317 0.004398010429209778
SLN 0.0009542203361232847 0.0011270125860884516 0.0012214388613450017 0.0010431095420247547 0.004345781325581492
GSTM5 0.0002905861316695975 0.000362665614515746 0.0017602566934399107 0.001922305579452193 0.004335814019077447
OSR2 0.0007511135113420709 0.0005351387972750354 0.0021217872151094736 0.0009070931606218489 0.004315132684348429
GPRIN2 0.0005338218572314973 0.0007159316631211041 0.0019110157109069766 0.001148042886531523 0.004308812117791101
LOC340017 0.0005241291201973244 0.0003835766048322007 0.001744494740637259 0.0016147130882097648 0.0042669135538765494
PYGO1 0.0004747963284905883 0.001072799762251418 0.0017641222199450322 0.0009025767184376093 0.004214295029124648
PRR15 0.0005455841052996374 0.0015600257961019654 0.00125993782322593 0.0008210338612714667 0.0041865815858989994
INADL 0.00029372599883628 0.0003573814665553305 0.0014179199705663058 0.0021016772576569146 0.004170704693614831
C1orf100 0.00039125283858518846 0.001420929644063733 0.0008654244337790286 0.0014756830004845972 0.004153289916912547
OR8D1 0.00033471371258134174 0.0007396774824736925 0.0012499080688558595 0.0018082066122061442 0.004132505876117038
MMP12 0.0005633354517143479 0.0015862232905495567 0.0013299330980150416 0.0006437009119676124 0.004123192752246559
ATXN1 0.0013067325223716244 0.0005017535605127446 0.00048805393978144376 0.0017792995295344133 0.004075839552200226
C4orf31 0.0004900161055324018 0.0004666616239004063 0.0015473594859090347 0.00154594129916356 0.004049978514505403
TIPIN 0.00033608335784472113 0.0014332460155944303 0.0008781225366256478 0.0014017600254112225 0.004049211935476022
DSCR6 0.00046479084356248394 0.0008597760790884899 0.0020464022640865683 0.0006739017627826252 0.004044870949520167
KCNE4 0.0004031462944195473 0.0021183166013736925 0.0006705069579450091 0.0007853770632121152 0.003977346916950364
DSE 0.0003585912830672236 0.0011036338328332233 0.001676672886609567 0.0008168228343404405 0.003955720836850455
AGFG1 0.0006595238794376258 0.000394350094507579 0.0010854985641432142 0.0018099760373696274 0.003949348575458046
PAX6 0.0001655107104478408 0.0005104669609671677 0.0011559491468491835 0.0021030303546278636 0.003934957172892056
C1orf158 0.0005395539185892177 0.0011593473453929747 0.000730734726781512 0.0014720839846299838 0.0039017199753936882
ZFP62 0.0005137845302985715 0.0007182672611546132 0.0017326755225496354 0.0009058493994077915 0.0038705767134106115
CFTR 0.0003723523752325824 0.0017358701038413162 0.0009750184410308744 0.0007864732082345394 0.003869714128339312
CDCA4 0.0003895622813632166 0.00036813395698387456 0.0011785644883801126 0.0019240790682926504 0.003860339795019854
LOC100128675 0.0006743538736064431 0.0003251399505651304 0.0015297469039687837 0.0013308074869659773 0.0038600482151063347
OR8B4 0.0003644302141082774 0.00048389199359002066 0.00124398770068336 0.0017673838525469835 0.0038596937609286417
DMRTA2 0.0003697511445022979 0.0014993154217594741 0.0015059859266635949 0.0004651348443862009 0.003840187337311568
MEI1 0.00027561929224703674 0.0004345348187680434 0.001455817228274549 0.0016299219277711285 0.003795893267060758
ALKBH3 0.00046748337333031283 0.0004453404255778604 0.0006956873066625241 0.0021609067934730956 0.003769417899043793
HIST1H3G 0.00035039826372241454 0.00040726794664423295 0.0010488407776735266 0.0019524042170754722 0.003758911205115646
ZNF354B 0.0008550643697112557 0.0009615728060358511 0.0012791493196310237 0.0006527609336671821 0.003748547429045313
ACOX3 0.0005732667534226077 0.0005392789180931723 0.0011367881692741699 0.0014553936038376788 0.0037047274446276287
C2orf79 0.0008464585406945883 0.0007194392664974396 0.0014879856487842347 0.0006201832827367875 0.0036740667387130496
GABPB2 0.00032056443863391843 0.0006685020227161257 0.0015030699368766046 0.00116504975617189 0.0036571861543985384
ABCA4 0.0002590177097865049 0.00033490157465284237 0.0013449066826862416 0.0016899003794666446 0.0036287263465922337
ZPBP 0.0005195769441067764 0.00022049518362392173 0.0010771685433168484 0.001809633932626166 0.003626874603673712
NSUN4 0.0004304603261995156 0.0010260275735581525 0.0004970933287043955 0.0016581333735499666 0.0036117146020120303
THOC6 0.000574365582884159 0.0011516813836705696 0.0009015094260443838 0.0009799293291832517 0.0036074857217823645
PSMD13 0.0004065768084331921 0.001718457371076536 0.0007052379326633225 0.0007725033547995518 0.003602775466972603
LOXL3 0.0007764503891729035 0.0009680499100003162 0.0012674905080861342 0.0005875678414604783 0.0035995586487198323
HMGXB4 0.0007556532439989501 0.0006949672976077711 0.0015961234035254581 0.0005490877175363428 0.0035958316626685223
TMEM39B 0.0005184978884406309 0.0008860144842455448 0.0014601093261229856 0.000699621812036252 0.003564243510845413
HDAC11 0.0006188176805298055 0.00042544830981249904 0.0006440517229863101 0.0018645600502786804 0.0035528777636072953
ISL2 0.0004721191472219327 0.00039285809213412037 0.0014556747272041453 0.0012253333843760706 0.0035459853509362685
CLCC1 0.0005131782368749593 0.0008168519953123069 0.001425475582759308 0.0007851558925687479 0.003540661707515322
DUSP10 0.0005489804925685589 0.0006346180751964708 0.000840851559687485 0.0015135496325162415 0.003537999759968756
ABLIM1 0.00018770244763895895 0.0011775896888088463 0.0013518475170873547 0.0007946844638999171 0.003511824117435077
MIR376B 0.0004550054487318203 0.001165778318603538 0.0011596801521820837 0.0006939201355786251 0.003474384055096067
FAM195B 0.00040416414616589735 0.000591466675192674 0.0011716477152002446 0.0012991706617368928 0.0034664491982957088
SIRT1 0.0002789791488722694 0.00029960822782123625 0.0011408944357636159 0.0017363045239806862 0.003455786336437808
RTN4 0.0003351636992474893 0.00021572403081876755 0.0017213685810247292 0.0011799994555153797 0.0034522557666063656
ACSL3 0.0005148189656263953 0.0006818931502422424 0.0013394256862887528 0.000915392611337377 0.0034515304134947675
DLEU7 0.00045167481619106075 0.00023063966309625739 0.0014532468580894659 0.0013129076320982451 0.003448468969475029
RPL18AP3 0.0003936272690654585 0.00027947223492051014 0.0013491581004605622 0.001402190571125312 0.0034244481755718427
LITAF 0.0005130803307080227 0.0010695165706361169 0.0008590661675963951 0.000975167924012121 0.0034168309929526555
BTG2 0.0004279419460817618 0.0006293219404031179 0.0008460968788787622 0.0014992959634330786 0.0034026567287967205
VAX2 0.0005935142191163151 0.0009340554425263881 0.0005673714115566297 0.0012926820691612731 0.003387623142360606
CDC42SE2 0.0005288226621278115 0.0003904290541315001 0.0009318586191077217 0.001516679412428355 0.0033677897477953885
MYO1B 0.00048724929172818597 0.0009731393120037566 0.0013032278143118997 0.0005968072314799696 0.0033604236495238123
HAPLN2 0.0003456218881564761 0.00036902272227155413 0.0010294047746978448 0.001601383743763854 0.003345433128889729
ZNF232 0.0003893163291255685 0.0012435864770347581 0.0006848483201347179 0.000985225038126984 0.0033029761644220285
RIMS3 0.000390456157208776 0.0012163934117477289 0.0013157878999419475 0.0003799540004750701 0.0033025914693735224
NCK2 0.00038890151096542143 0.0003964662262030341 0.001156825079828734 0.0013380803721894036 0.003280273189186593
CYP1A2 0.0004190036004670169 0.0002829377936003702 0.0013642383837255668 0.0012128792765950846 0.0032790590543880383
TRPM1 0.000324463673035913 0.0006686270210036673 0.0008070002154112243 0.001459296490418347 0.0032593873998691516
DBNDD2 0.0004437796206539379 0.00036436475747967636 0.0010285905952476444 0.0014173739717011579 0.0032541089450824163
FGL1 0.0003891007590512209 0.0003588682002189999 0.0010042834428942824 0.0014811310964153155 0.0032333834985798188
TBX4 0.000539503460128552 0.00047536011212716137 0.0009088423594443031 0.0013042388816838424 0.0032279448133838585
FCGR3A 0.0003730764738455893 0.00046271115297745176 0.001145100499391237 0.0012442732292809087 0.0032251613554951865
LIME1 0.0003694866944621082 0.0011588469836219064 0.000976665591254113 0.0007044423823766543 0.0032094416517147815
HMGB1 0.0003376145193497548 0.0003903401098350932 0.0012910765521877542 0.0011681361502532096 0.0031871673316258113
NEURL3 0.0003404016820666925 0.00028946426989058646 0.0012172148844890208 0.0013119382855166803 0.00315901912196298
MEG8 0.000642327829995152 0.000999445146780981 0.0007204347094203252 0.0007795432837498127 0.0031417509699462713
POLR2D 0.0009529845161945153 0.0005581174351505268 0.000953211048939494 0.0006767774353757911 0.0031410904356603273
RILP 0.00039548297251977267 0.0003206356560716475 0.0008040590589066477 0.0016200635589245903 0.003140241246422658
FAM194B 0.00040345454619218564 0.0005479420108338449 0.0007694350641473793 0.0014027222221539958 0.0031235538433274056
SEPT8 0.0002708819843979692 0.00025299285497033856 0.0011028794976313846 0.0014967184584176692 0.0031234727954173617
C15orf26 0.00032893547298164846 0.0006860759627865555 0.0014197849650433637 0.0006824190947710476 0.0031172154955826153
PRR20E 0.0005457340949635846 0.0003379951446989775 0.0013884108296091018 0.0008386213944857925 0.003110761463757456
ADORA1 0.0004137013603535586 0.0009204598127204023 0.0008408066507401399 0.0009320144681044243 0.0031069822919185253
CRTAC1 0.00040800091785063626 0.0008271029643951731 0.0014731689324588597 0.00037628504361812183 0.003084557858322791
C2orf50 0.00043924555770976785 0.0007892724545628573 0.001121900422244763 0.0007200602547050638 0.003070478689222452
ZCCHC3 0.0006432736593649799 0.0004773066903502658 0.0009623945223728693 0.0009727410342818236 0.003055715906369939
NELL2 0.00043994445252794524 0.001390815001952849 0.0006585825095268527 0.00056312795223254 0.003052469916240187
MEF2C 0.0007160390794162674 0.0006664953435939665 0.0008356228126248604 0.0008106790792985277 0.003028836314933622
RGS22 0.0005601382018996381 0.0004526293681619248 0.0011549395047424167 0.0008317155955607786 0.002999422670364758
LDHB 0.0005487929343518775 0.00099130679522827 0.0007134292276935022 0.0007424403337953588 0.0029959692910690085
MGAT4A 0.0005207007707552838 0.0005955505033256624 0.0010660670060884574 0.0008114670039064246 0.0029937852840758285
MIR1252 0.00045981171655040383 0.0009021539276801259 0.0005348295736168732 0.0010957764351287055 0.0029925716529761084
PITX3 0.0005519620867415859 0.0005423312265846453 0.0011406974146534582 0.0007507166310556243 0.002985707359035314
MELK 0.0005259246053772452 0.0008999591678536652 0.0006007022356668183 0.0009554399308987676 0.0029820259397964964
LOC84931 0.0005457947167334517 0.0005280017618312502 0.001036970352833741 0.0008667341246365477 0.002977500956034991
C13orf33 0.0003274200090893597 0.0005840500358613162 0.0013336424013091438 0.0007296671922562622 0.0029747796385160815
IVD 0.00024646490816604075 0.0009676231632256567 0.0012697262944925552 0.00048322766488035246 0.002967042030764605
YWHAZ 0.0004657725446179233 0.0002202841712676402 0.0008120982586796947 0.0014688837546605485 0.0029670387292258064
SCG5 0.0003362465322504119 0.0005595021884291639 0.0011368764602903247 0.0009265682272482373 0.0029591934082181374
EHBP1 0.0005345858025368361 0.0003205650694835179 0.0011943232408104672 0.0008872678526773087 0.0029367419655081297
PRL 0.0005981770898282389 0.00044049844204616486 0.0011797494954001002 0.0007089307771952275 0.0029273558044697313
MYH10 0.0005073560485539604 0.0007668553838286954 0.0008429939092318156 0.0008056477951488254 0.0029228531367632964
GGN 0.00042565612384858195 0.000794078472406505 0.0005766002691333561 0.0011219605659351986 0.002918295431323642
RTBDN 0.0005482249535981901 0.0008977194851131981 0.0004885990326481045 0.0009816719421738636 0.002916215413533356
RBM47 0.0004643271922360609 0.0005298259629838728 0.0006271473634860078 0.0012913189437077522 0.0029126194624136937
PPP2R5A 0.00044222578848866697 0.0006604013758462605 0.0012065185870657863 0.0005889553645164851 0.0028981011159171987
DOPEY2 0.00024193524490093726 0.0009011288926672655 0.0010010771523684936 0.0007503771604714757 0.002894518450408172
PPWD1 0.0005327482738949872 0.0004674718925588727 0.0009013425428186263 0.000991349036517391 0.002892911745789877
MUC13 0.00038729065736604174 0.0010545396287125679 0.0006712078319801179 0.0007708327214238098 0.0028838708394825375
FOXP1 0.000324337842284348 0.0006476961260809349 0.0013237580456322453 0.0005746368187336874 0.002870428832731216
LARP4 0.0005209739564160856 0.0008043943274198037 0.0010250550994070438 0.0005171304728100623 0.002867553856052995
SGCE 0.00040114580619998394 0.00038775103845765403 0.0007995861127022098 0.0012648679986796989 0.0028533509560395463
SPG7 0.0003001033903155796 0.0003478258763261848 0.0011312803229732726 0.0010732429989689805 0.0028524525885840176
SLC44A5 0.0002595902327400695 0.00023603709896587996 0.0009571526320219034 0.0013846501439410941 0.002837430107668947
OR9Q1 0.0002848973402832148 0.0007556477933735436 0.0012484702698227204 0.000546125266469327 0.0028351406699488055
MKNK2 0.0006636402242143333 0.000353531107998093 0.0005322931192662749 0.0012818081425366385 0.0028312725940153396
WDR26 0.0008271352183279977 0.00046496715084423467 0.0008425175882130794 0.0006838425367995148 0.0028184624941848266
C10orf28 0.000429880910629949 0.0005117961703530134 0.0007760320463941699 0.001088962528560172 0.002806671655937304
HOXA10 0.000800532660367946 0.0004782308539893071 0.0005997340473132384 0.0009271937399722681 0.0028056913016427597
ZNF239 0.0005421490196465717 0.0009007478135870453 0.0003552745974328501 0.0010073906465692631 0.00280556207723573
FHL3 0.0008377577813381851 0.00033623724614609084 0.0008747918433527846 0.0007523546079884539 0.002801141478825514
VPS13B 0.00030561429378561254 0.00042789524007250964 0.000955433730744773 0.0011086690349005343 0.0027976122995034295
MIR1178 0.0008984412877107454 0.00045901587937010956 0.0005169558243287804 0.0009125335124205578 0.002786946503830193
SNORD114-4 0.00045314046780984646 0.0004329669791974944 0.001118316716818103 0.0007549324632033876 0.0027593566270288318
PGCP 0.0006357339299657234 0.0006854455957318028 0.0009351672178441106 0.0004962560014855323 0.002752602745027169
OSBPL8 0.00026238411388105937 0.0003606600082858415 0.0010848227890084743 0.0010319343073656858 0.002739801218541061
BLVRA 0.000555730442891627 0.00048212627671283677 0.0006720786803869604 0.0010196812680047468 0.002729616667996171
DDIT3 0.0004237394276740039 0.000248086961819116 0.0010017380842797595 0.001052252472400617 0.002725816946173496
RPTOR 0.0002990331945638856 0.0006509102334841105 0.0006911159152569632 0.001081002413035879 0.0027220617563408385
NQO2 0.000810738648051231 0.0004133310001693452 0.0005100479343211999 0.0009876898082008486 0.0027218073907426246
ARHGAP25 0.0005606463537928579 0.0007152056468329256 0.0008030138503255247 0.0006317274205623933 0.0027105932715137016
ANG 0.0006502328821862915 0.0004909024307209504 0.0005934312425600649 0.0009549661848185471 0.002689532740285854
CRYGD 0.0005468220688492614 0.0005417989540067136 0.0009976107447794758 0.0006000345476927127 0.0026862663153281634
NPAS2 0.0003800370703683352 0.0008702229243634591 0.0002887788732532593 0.0011442919055375442 0.002683330773522598
EXOC3L2 0.00047680324400714466 0.0002473206758070778 0.0009016898177264521 0.0010414401786167555 0.00266725391615743
PPP3R1 0.00041032262401588467 0.0002943460996459719 0.0010176091466017577 0.0009414339434187871 0.002663711813682401
KIAA0664 0.0009761268966343186 0.0005441949420442731 0.0005245853110826192 0.0006175706743292824 0.0026624778240904932
TCIRG1 0.00034014300780637154 0.00039621125308190736 0.0007968700390196211 0.0011269787637249247 0.0026602030636328246
RABIF 0.0005360252319348486 0.0006794537667536417 0.0009099367865727482 0.0005141100250160861 0.0026395258102773246
TMEM51 0.00029805665701549967 0.0008598881000946955 0.0005745065909844954 0.0009054961212767047 0.0026379474693713953
LGALS9C 0.0005405086139421506 0.0007595620259016522 0.0006566483186685087 0.000680053354711652 0.0026367723132239636
AGRN 0.0007977717386557955 0.0007868489627659705 0.0004973350588330708 0.0005413963407357648 0.002623352100990601
ZSCAN18 0.0007448167812854848 0.00034243397486401753 0.0010560359268976984 0.00047303331658173336 0.002616319999628934
TAS1R1 0.0005055022880609384 0.0005660909771382382 0.0009423751918103893 0.0005893794593258625 0.0026033479163354283
ANKRD23 0.0005469044794795377 0.0003138436808408526 0.0007328372455946736 0.0010085121291785837 0.0026020975350936476
NACAP1 0.0004998313009324064 0.0005833614021229593 0.000957671727988992 0.0005542702184059326 0.0025951346494502907
