 NT G1 G2 G3 sum
NEDD1 0.000673070428927488 0.0011685068556924097 0.010519023911910228 0.007394160284147658 0.019754761480677785
NUMA1 0.0006705575736760394 0.0007960698713100412 0.006674398289466822 0.007073577525725676 0.015214603260178578
E2F6 0.0006579974166202416 0.0015564853399373736 0.008848730260785824 0.004000086620433703 0.015063299637777142
KCNQ1 0.0004700215283231118 0.0007994259773928105 0.005392844206576784 0.007229625857363445 0.013891917569656152
ATPGD1 0.000694285853885849 0.0012742529268045684 0.0063323209324182075 0.003381135038147514 0.011681994751256138
COLEC11 0.00032689264745992835 0.001634457217696298 0.005874630834159495 0.0035158604471885956 0.011351841146504319
BOLL 0.0006556981114455029 0.0008070894094827381 0.0036149173917742654 0.005625493346956343 0.010703198259658849
PAPLN 0.0007318609793351008 0.004817702736341808 0.0009791907620602526 0.0034052141817660295 0.009933968659503191
RAB22A 0.000316147418685194 0.0042520396333443925 0.0043762805274104016 0.0009509523796263625 0.009895419959066351
C17orf90 0.0007221043057357151 0.002887578759430934 0.005092707319237108 0.0007258811610406494 0.009428271545444405
CLCC1 0.0005294059507707569 0.0014818040536417909 0.004419592092923686 0.002766832525416284 0.009197634622752518
LOC100128675 0.001050364381836291 0.0008457491844920964 0.004710665829215207 0.0020984516095579097 0.008705231005101503
C9orf27 0.00039739849352037244 0.0018291787159515234 0.004101359760643317 0.0016580124458992567 0.00798594941601447
DLEU7 0.0008850405221330898 0.0011767129481268916 0.003616499728385003 0.002304603110045207 0.007982856308690191
C16orf81 0.0008653924912094514 0.001108747062532251 0.0016081590495363722 0.00409139026639062 0.007673688869668694
C4orf31 0.0006099681827469725 0.0009927172975689594 0.0029962305098046684 0.0029992240770728568 0.007598140067193457
GSTM5 0.00038762197139765973 0.0007856490768411474 0.0036875053555103466 0.0027023018953952283 0.007563078299144382
DMP1 0.00043216353091606876 0.004170503498226001 0.0014671314345463013 0.0014912079445296596 0.007561006408218032
ABCA4 0.0008129170092293414 0.0007198544655308069 0.0025229434524075894 0.0034812541646550336 0.007536969091822771
LOC340017 0.0010171859982710395 0.0006385479162993935 0.002949196610834044 0.0027036200757644723 0.007308550601168949
C1orf77 0.00045337046361875057 0.0007589341015819312 0.003770218396295288 0.00227837025147657 0.00726089321297254
MIR10B 0.0006205177024511613 0.0007420889473270969 0.003356177145294669 0.002539030143787208 0.007257813938860136
CES4 0.0005418255732252918 0.0023266548587298646 0.0035503971717285145 0.0008072671648909121 0.007226144768574583
PYGO1 0.0008093721176043624 0.0015656492342796997 0.0036754432711965947 0.0010780236968004917 0.007128488319881148
ENO1 0.0005594466421607709 0.0009485572723994142 0.003208585993908694 0.0022578967172662856 0.0069744866257351636
GPRIN2 0.0005901043831782907 0.0011136382717836283 0.0039747787170007305 0.001293123359101003 0.006971644731063653
NDN 0.0006184465716820882 0.0021751032658745505 0.0031579885777156835 0.0010046329391703692 0.006956171354442692
CDKL2 0.0008400212575414868 0.0007372541779761628 0.0028965193470313977 0.0023750520254359002 0.0068488468079849485
HDAC11 0.0014451811292464259 0.0011372754076915694 0.001780121179127244 0.002461498808526426 0.006824076524591665
PRKCD 0.0008576049201547108 0.001028753907790177 0.0028838817894444014 0.002031507808920573 0.006801748426309862
CRYGD 0.0010839303841967002 0.0006409620174543547 0.002803596371760881 0.0020900500296367587 0.006618538803048695
YWHAZ 0.0006194714574305351 0.0011781602889698608 0.0026515996336949513 0.0021409682526896076 0.006590199632784954
ERRFI1 0.0009709357972280305 0.0008224847542888195 0.0025597409573100893 0.0021576217868829956 0.006510783295709935
PIGB 0.0009117825968087956 0.0021834574098985255 0.0009454868880216018 0.002443104268344635 0.006483831163073559
ZFP62 0.0006195079145926783 0.0005100122563185081 0.0031166708521229965 0.0021778291869854983 0.006424020210019681
NAPSB 0.0008901008799622551 0.003083484485473859 0.0018199789710927692 0.0006285336846152585 0.006422098021144142
PLD1 0.0005312589568287403 0.003314275010180147 0.0013348428681145825 0.0012368837168099897 0.006417260551933458
DBNDD2 0.00036605247753771386 0.0006184089791319266 0.0027709378640361658 0.0026213827905264614 0.006376782111232267
VASH1 0.0007172140738069659 0.003052833148277585 0.0008540309547370459 0.001751994589279826 0.006376072766101424
HIST1H3G 0.0008718105303743388 0.0006704329533380043 0.002594383913721839 0.002158368660154551 0.006294996057588733
SEPT8 0.000591599702126248 0.0008563226542647152 0.0022492737192489824 0.0025871399547686873 0.006284336030408633
C1orf158 0.0006570107181949963 0.0019766172772017207 0.0009971777910789085 0.0025905858251000667 0.006221391611575692
IVD 0.0003031298862848289 0.001096918546764556 0.0035709571796210607 0.0010804125532341325 0.0060514181659045785
SLN 0.001118790154925306 0.0027775498353280613 0.0014244846793344196 0.0007046953542209103 0.0060255200238086976
LDHB 0.0008015422539802503 0.0022915055495114885 0.0022047208493446895 0.0007268874655494027 0.006024656118385831
ABLIM1 0.0005194635612908126 0.0030046601988959034 0.0010220154747713176 0.0014764138694881555 0.006022553104446189
TMEM173 0.0007895879231449542 0.001978184591182265 0.0013959320356009782 0.0018430359528221088 0.006006740502750307
RUNX3 0.0005280763721070044 0.0009604386987704116 0.002887984776654919 0.0015732578551203996 0.005949757702652735
OR8B4 0.0006489778151338841 0.0007863617434866147 0.001852175748849531 0.0026369601324268766 0.0059244754398969065
HOXD4 0.000615751224615548 0.0015165709427472818 0.0011219718241930847 0.0026619351780524138 0.0059162291696083285
VAX2 0.0007596423090737916 0.000973379498966803 0.001309871774777079 0.0028464463022894065 0.00588933988510708
AQP10 0.0006788797641231866 0.0019341146589331546 0.0008633360959711051 0.0023628922016958316 0.005839222720723278
TIPIN 0.0007654459685943106 0.002083535791385141 0.001197017316091087 0.0017719432028187852 0.0058179422788893235
SLC44A5 0.000753586152013534 0.0009001929338867884 0.0023988149441001713 0.0016790154434833486 0.005731609473483843
MMP12 0.0006979889776828084 0.0007962270399011236 0.002655379402332767 0.0015367552721552993 0.005686350692071998
C17orf69 0.0006982405714378221 0.001711300519806253 0.002578702176871293 0.0005936106072580362 0.005581853875373404
GGN 0.000723954536605742 0.0007794632935423983 0.0020143761865591527 0.0019765127018673096 0.005494306718574603
MEOX2 0.00036521928605785466 0.0013462520082535713 0.0024793387849749516 0.0012875063658164992 0.005478316445102877
C17orf99 0.0005638757584595866 0.002211711239337887 0.0015890564945752407 0.001073953418604338 0.005438596910977052
CYP1A2 0.0002930223301724938 0.0010072895456961332 0.0027178934287444417 0.0014113978863117339 0.005429603190924803
LITAF 0.000516462085719898 0.0005938068890201352 0.0016836803620355386 0.0026260342298527486 0.00541998356662832
HACE1 0.0005285074354873973 0.0016451284341959748 0.002479164878002549 0.0007141755353884763 0.005366976283074398
SERPINE2 0.0007859706087535755 0.0012528971601397116 0.0021747947908975587 0.0011096006288761379 0.005323263188666983
TRPM1 0.00041531408897588966 0.000948301114674046 0.0016424788231366011 0.00231572631418751 0.005321820340974047
C2orf79 0.0016807124487351708 0.0009053742047381193 0.0021127565843787714 0.000573817378188595 0.005272660616040656
S100A2 0.0014211195282959218 0.0011578479702381945 0.0008241429293689895 0.0018627983755202513 0.005265908803423357
FAM194B 0.0005701648521126022 0.0013454834287359655 0.0013007257616579116 0.0020087240089633304 0.00522509805146981
AGFG1 0.0005852327826048945 0.0004982418095500182 0.0020178360265421724 0.002106251255881463 0.005207561874578548
FSD1 0.0007669814434175375 0.0008408444834458861 0.0014639058823703714 0.00211875714466061 0.0051904889538944045
PRR14 0.0006290401521729811 0.0008844152825288356 0.0014806141880890577 0.0021670033521414512 0.005161072974932325
NCOA6 0.0013799095408732144 0.0008054076602689319 0.000630611634830585 0.0023124650100008804 0.005128393845973612
OVOL1 0.0005656995096681376 0.0006311890598717669 0.0017538278663199313 0.0021762044902286907 0.005126920926088527
ATXN1 0.0011315939964709576 0.0007099264912994761 0.0015046608770788229 0.001777211738136171 0.005123393102985428
ITPKB 0.0006240906958083183 0.0007192393167041976 0.0019232606595737639 0.0018258723328627637 0.005092463004949043
SLC6A6 0.0006782495309631111 0.0005632147387252475 0.00210166452510719 0.0017328160846798147 0.005075944879475363
CTXN3 0.0005279791037962323 0.0006886328698237638 0.001709129157482252 0.0020926401643497736 0.005018381295452021
TRAF2 0.0005469988942143992 0.0004938011845164429 0.0015939812152601998 0.0023825887111817994 0.0050173700051728415
CDC42EP5 0.0006883583551614393 0.001820137128621386 0.0010766657140443537 0.0013991506380027208 0.0049843118358299
MAPRE1 0.000585493109362821 0.0005613468198483777 0.0020913623471590335 0.0017444853052628307 0.004982687581633062
YIF1A 0.0010784605803522084 0.000712238693357895 0.0018904372169594862 0.0012916967034957703 0.00497283319416536
DSCR6 0.0005524911052187882 0.0012986336299313525 0.0022743970288727983 0.0008347573917595085 0.0049602791557824474
ACSL3 0.0006207838492185903 0.0005818349869010571 0.0026368038651310125 0.0011187929615992305 0.004958215662849891
RTN4 0.0004736053840857093 0.0005165944201884177 0.0018516412855219388 0.0021138196934530323 0.004955660783249098
THOC6 0.0006668199380545602 0.001954105495408679 0.0013712737124766446 0.0009430493124249484 0.004935248458364832
MIER2 0.0004927281140261593 0.0008340812571610059 0.0022591009391949505 0.0013320040495171002 0.004917914359899216
FAM196A 0.0005674424816889059 0.0005643239656825301 0.0015123398171671344 0.00226496929266149 0.004909075557200061
LOC284798 0.0009584296024712577 0.0009401067265276388 0.0017205024306868194 0.001285116129513597 0.004904154889199313
COPS3 0.0010226156548843886 0.0008292144544137497 0.0018325204002522413 0.0011506994669617464 0.004835049976512126
CDX2 0.0005983980619635273 0.001160424194210074 0.002023487254086509 0.0010408332748444633 0.004823142785104573
RPL18AP3 0.0007144575115512571 0.0006941858812729034 0.0015688911803626471 0.001844215205530594 0.0048217497787174015
ISL2 0.00072397585341514 0.0007108436746352553 0.0018431707533948486 0.0015432914580024517 0.004821281739447695
PPP2R5A 0.0004257478533385978 0.0010295712767416324 0.002213584453446298 0.0011521491673768792 0.004821052750903407
C1orf70 0.0008313297674648112 0.0017520421157133155 0.0009657929562212012 0.0012603319934002444 0.004809496832799572
HMGB1 0.0005073208685732976 0.0010319606897150244 0.0022570591362659404 0.0009267528243481662 0.004723093518902429
ACTL6A 0.0007140322848676569 0.0015832843232560449 0.0007792271872371264 0.0016417249170587445 0.004718268712419572
PSMB8 0.001478500518948851 0.0011341963424689602 0.0011074807607754649 0.0009859659016042352 0.004706143523797511
SMPD3 0.0006542566292097982 0.0023648246290348812 0.0008608788810941763 0.000822607635994828 0.004702567775333684
DAZAP1 0.000790088020614519 0.000543415104275406 0.0018621689694099668 0.001504734480296173 0.004700406574596065
CDC42SE2 0.0005473834424004071 0.0006418719017259944 0.00143141755509373 0.0020789274011607083 0.00469960030038084
ZPBP 0.000529407325982132 0.0006455713351939617 0.001630992760884703 0.0018931669354645749 0.0046991383575253716
SPAG6 0.0005451106510413634 0.0007748291944499991 0.0020636108590830885 0.0012984239279980993 0.00468197463257255
TMEM39B 0.0007613415404864523 0.0010639560891652672 0.0016738986820910569 0.0011780770089646997 0.004677273320707475
SNORA1 0.0007939967485972253 0.0008161759301964187 0.0015760948136643606 0.0014729698115393114 0.004659237303997316
ZNF232 0.0005768563715130981 0.0019419514564953332 0.0013859098554618266 0.0007390790089252429 0.004643796692395501
NPAS2 0.0005560174358891781 0.0013978768443594614 0.0009388033534333083 0.0017495469566860024 0.004642244590367951
DMRTA2 0.0006109763232396902 0.0009445956753085487 0.0023311102911956743 0.0007213401874271978 0.004608022477171111
C15orf26 0.0008880709230484835 0.0007706857844994115 0.0018081165407535672 0.0010878269406390823 0.004554700188940545
HAPLN2 0.0006335849454805374 0.0006114325871811628 0.0013146151402690827 0.0019860813542535894 0.004545714027184372
HMGXB4 0.0006406212084701832 0.0013926974565759101 0.0018159575397405313 0.0006805004875885524 0.004529776692375177
SPTBN1 0.0006620556724576647 0.000863719928627977 0.0013620981801754197 0.0016206943899599667 0.004508568171221028
ZNF354B 0.0010252540129085449 0.0006507443343155307 0.0022652218670762897 0.0005287030902948287 0.004469923304595194
TBX15 0.0009039921358944666 0.001458318447733441 0.0009644474687232927 0.0010982683516885413 0.004425026404039741
OSR2 0.0013710241509775351 0.0006607946857008307 0.001492620040854151 0.0008974159053902091 0.004421854782922726
SMCR7 0.0006397358901023822 0.0008709166526582968 0.0015115491857161931 0.0013991696276596933 0.004421371356136565
RNMT 0.0006212349083062336 0.0010924623909559878 0.0022369082896653817 0.0004660065014526663 0.0044166120903802696
MELK 0.0005688927007206124 0.0016696974014977991 0.0009406235909796065 0.0012173764322207243 0.004396590125418743
C1orf100 0.0007041684725156562 0.0016129083457972586 0.0011165388363319488 0.0009613315982004373 0.004394947252845301
MYH10 0.0007821688712619521 0.0008768525435744016 0.0015446018245582555 0.0011628392632428073 0.004366462502637417
RGS22 0.0007181257201981214 0.0005094614799554056 0.0021838368126709663 0.0009234348842080851 0.004334858897032579
CTBP2 0.00041105425605174556 0.001052208565257138 0.0019062433085240246 0.0009632753353883729 0.004332781465221281
LOC284788 0.0006565374924616948 0.001189109592144009 0.0015551428639957884 0.0009310942404756235 0.004331884189077115
ZBTB1 0.0004593418766394543 0.0006980490114384488 0.0013371874425289452 0.001819259660138133 0.004313837990744981
NEURL3 0.0004551926086855557 0.0005560113863860107 0.0015687758943138577 0.0017299173708728687 0.004309897260258293
VARS2 0.0006226061433308897 0.0006251953333269629 0.00140782262187432 0.001617368180018962 0.004272992278551135
KCNE4 0.0008553023805008027 0.0021309202820648998 0.0007312891356507712 0.0005347786025841382 0.004252290400800612
