 G2 G3 sum
KCNQ1 0.011250902999618272 0.011250902999618308 0.022501805999236582
OR8B4 0.008460319995426678 0.00846031999542675 0.01692063999085343
MIR10B 0.008412667964330578 0.00841266796433057 0.01682533592866115
SLC6A6 0.007927335699242996 0.007927335699242956 0.015854671398485953
C4orf31 0.007658864459549578 0.007658864459549529 0.015317728919099107
C17orf69 0.007505040504395257 0.007505040504395299 0.015010081008790557
NAPSB 0.00731899185323973 0.007318991853239641 0.014637983706479372
PYGO1 0.006936663080777181 0.006936663080777219 0.0138733261615544
RRBP1 0.006822560015356029 0.0068225600153561244 0.013645120030712153
HOXD4 0.006814724875530645 0.0068147248755306145 0.01362944975106126
NUMA1 0.006726192817074349 0.00672619281707435 0.0134523856341487
ZFHX3 0.006631177302182455 0.006631177302182484 0.013262354604364939
TRPM1 0.006585401843275118 0.00658540184327517 0.013170803686550287
C1orf77 0.0065211979446018545 0.006521197944601889 0.013042395889203744
CDKL2 0.006376809106877548 0.006376809106877507 0.012753618213755055
INADL 0.0062539226991862925 0.006253922699186548 0.012507845398372842
PRR13 0.006223160642037243 0.0062231606420371606 0.012446321284074403
RPL18AP3 0.006076166665859946 0.0060761666658599705 0.012152333331719917
NDN 0.00607169943169556 0.006071699431695459 0.012143398863391018
NEDD1 0.006018523871615713 0.006018523871615909 0.012037047743231622
CRYGD 0.0060124554196313434 0.006012455419631399 0.012024910839262742
BMP4 0.0059390176092399246 0.005939017609239935 0.01187803521847986
CES4 0.0057941447283090825 0.005794144728309113 0.011588289456618196
PAPLN 0.005747417957427674 0.005747417957427633 0.011494835914855308
TRAF2 0.0056115445573503035 0.005611544557350395 0.011223089114700699
ENO1 0.005576139129532486 0.0055761391295324975 0.011152278259064983
SERPINE2 0.005522223877913789 0.00552222387791383 0.011044447755827618
DHX57 0.005440597523016661 0.005440597523016601 0.010881195046033262
PITX3 0.005398544163708958 0.005398544163709045 0.010797088327418002
ITM2C 0.005236753319726655 0.005236753319726582 0.010473506639453237
MKNK2 0.005235747069805524 0.005235747069805527 0.01047149413961105
ATPGD1 0.005203899881016541 0.005203899881016541 0.010407799762033081
ICK 0.005177341682730251 0.005177341682730189 0.01035468336546044
OVOL1 0.005166038051281444 0.005166038051281427 0.01033207610256287
E2F6 0.004965597092519577 0.004965597092519497 0.009931194185039073
SLC2A8 0.004865644626624002 0.004865644626624107 0.00973128925324811
FAM84B 0.0047462156683762404 0.004746215668376151 0.009492431336752392
MEI1 0.004721615850158281 0.004721615850158343 0.009443231700316624
YWHAZ 0.004720590070611192 0.004720590070611189 0.009441180141222381
RAB22A 0.004691685576062597 0.004691685576062599 0.009383371152125196
LDHB 0.004666382998196264 0.004666382998196305 0.009332765996392569
ST8SIA3 0.004651393967021916 0.004651393967021985 0.009302787934043901
HOXD3 0.004506359791226675 0.004506359791226504 0.009012719582453178
ATP5O 0.004484942566599375 0.004484942566599303 0.008969885133198678
COLEC11 0.004441457250038639 0.004441457250038605 0.008882914500077244
TMEM39B 0.004426618315560797 0.0044266183155608615 0.008853236631121659
SLC44A5 0.0043086265441711485 0.004308626544171144 0.008617253088342294
LMO3 0.00417944369295224 0.004179443692952299 0.00835888738590454
PRR14 0.00416639134016184 0.0041663913401616265 0.008332782680323466
MELK 0.004126242109688762 0.004126242109689036 0.008252484219377798
PDE2A 0.004106474630141953 0.0041064746301419245 0.008212949260283878
FGL1 0.004086164233111134 0.004086164233111087 0.00817232846622222
TMEM188 0.004076140660854589 0.004076140660854365 0.008152281321708954
RANGAP1 0.004037574418112243 0.004037574418112182 0.008075148836224426
DBNDD2 0.003925528243191924 0.003925528243192035 0.00785105648638396
IVD 0.003921278787810947 0.003921278787810964 0.007842557575621911
ZNF131 0.003916020343739399 0.003916020343739446 0.007832040687478845
ITPKB 0.0039020953106995034 0.0039020953106994405 0.0078041906213989435
SEPT8 0.0039009270351077195 0.003900927035107738 0.007801854070215457
CDC42SE2 0.0038973952120460106 0.0038973952120460826 0.007794790424092093
SFRS3 0.0038784804692589443 0.0038784804692589664 0.007756960938517911
RBM47 0.003848924410588095 0.0038489244105880164 0.007697848821176112
GALNTL4 0.003832881685158939 0.00383288168515892 0.007665763370317859
S100A2 0.003816379309559064 0.003816379309559034 0.007632758619118099
NSUN4 0.003797023861024742 0.003797023861024742 0.007594047722049484
PRKAB2 0.0037410097545489836 0.003741009754549004 0.007482019509097987
C9orf27 0.0036757428815991644 0.003675742881599115 0.007351485763198279
MMP12 0.0036222674246113957 0.0036222674246113563 0.0072445348492227515
VDAC1 0.0036025034314925847 0.003602503431492453 0.0072050068629850375
ISL2 0.0036021082801286977 0.003602108280128707 0.007204216560257404
PAX6 0.003582578781712139 0.003582578781712064 0.007165157563424203
FLYWCH2 0.003564521239076203 0.003564521239076254 0.007129042478152457
DMRT3 0.003532500725355875 0.0035325007253558757 0.0070650014507117505
RPL7 0.003526612353394163 0.003526612353394184 0.007053224706788347
LOC84931 0.003522355174412696 0.0035223551744126592 0.007044710348825355
C15orf26 0.003447304976383335 0.003447304976383426 0.006894609952766761
DSE 0.0034402036237980932 0.003440203623798105 0.006880407247596199
BLVRA 0.003408066563470546 0.0034080665634706195 0.006816133126941165
SPAG6 0.0034054313482230524 0.00340543134822312 0.006810862696446172
GGN 0.003393506972960078 0.003393506972960018 0.0067870139459200955
HNRNPF 0.003356740491788327 0.003356740491788357 0.0067134809835766845
NCK2 0.0033565264850271997 0.0033565264850271602 0.00671305297005436
HMGCR 0.0033379948174191076 0.0033379948174190434 0.006675989634838151
TMEM51 0.003337862281508094 0.0033378622815080972 0.006675724563016192
ANKRD13B 0.0032662391854176133 0.0032662391854177456 0.0065324783708353585
MGC13005 0.0032611663584639653 0.003261166358464073 0.006522332716928038
CXCL16 0.0032477947183488323 0.003247794718348823 0.006495589436697655
HIST1H2BH 0.0032201119374368563 0.0032201119374369335 0.00644022387487379
DMRTA2 0.0032140520249039997 0.003214052024904097 0.0064281040498080965
ACOX3 0.003207896312920836 0.003207896312920933 0.006415792625841769
ABCA4 0.0031901498796243107 0.003190149879624274 0.006380299759248585
CMTM6 0.0031126598149288287 0.0031126598149288686 0.006225319629857697
VPS13B 0.00307930472771967 0.0030793047277196846 0.006158609455439354
BOLL 0.0030588131086676643 0.0030588131086676787 0.0061176262173353434
RABIF 0.003048167206185064 0.0030481672061850413 0.006096334412370105
SGCE 0.003042231576797763 0.003042231576797766 0.006084463153595529
FAM120B 0.0030012220876642582 0.0030012220876643432 0.0060024441753286015
OR8D1 0.0029933436526048845 0.0029933436526049365 0.005986687305209821
HMGB1 0.0029448679844471604 0.00294486798444709 0.0058897359688942505
CLCC1 0.0029120718899527604 0.0029120718899528276 0.005824143779905588
KLHDC2 0.002880602139957115 0.0028806021399572076 0.005761204279914322
LOC100128675 0.0028754522970083907 0.0028754522970084163 0.005750904594016807
CDCA4 0.0028608319908663008 0.002860831990866336 0.005721663981732636
ZPBP 0.0028421229501520095 0.002842122950151973 0.0056842459003039825
CDX2 0.002799236669219731 0.0027992366692196733 0.005598473338439405
HACE1 0.002799057407610263 0.0027990574076101836 0.005598114815220446
PDZD8 0.0027838442439164428 0.002783844243916491 0.005567688487832933
ZCCHC3 0.0027808432809450488 0.0027808432809449664 0.005561686561890015
FAM186A 0.002770724840725489 0.0027707248407255894 0.005541449681451078
AGFG1 0.0027659837308665735 0.00276598373086665 0.005531967461733223
SGPL1 0.0027433971452293484 0.0027433971452293015 0.00548679429045865
GPD1L 0.002639201454170419 0.002639201454170387 0.005278402908340806
NCOA6 0.0026313902844412296 0.0026313902844410713 0.0052627805688823005
UBTF 0.002627171869332068 0.0026271718693319773 0.005254343738664045
GPRIN2 0.0026211433817270634 0.0026211433817271298 0.005242286763454193
STAT3 0.0026205041003840844 0.002620504100384151 0.0052410082007682355
XRCC5 0.0026177124499457334 0.00261771244994576 0.005235424899891494
RPN1 0.002611993702211793 0.002611993702211902 0.005223987404423695
RPRM 0.002611943146313051 0.0026119431463130557 0.005223886292626106
LOC340017 0.002609769707405886 0.002609769707405791 0.005219539414811677
HBEGF 0.0026087887744176827 0.002608788774417741 0.005217577548835424
DMXL1 0.002594315360588096 0.002594315360588065 0.005188630721176161
LOC648691 0.002591182229719423 0.0025911822297193994 0.005182364459438822
LRP5L 0.002588502664544346 0.002588502664544424 0.00517700532908877
MRPS23 0.0025874335036769613 0.0025874335036769457 0.005174867007353907
ETV2 0.002573816316459193 0.0025738163164591476 0.00514763263291834
HOXA10 0.0025650499652051907 0.0025650499652051222 0.005130099930410313
SGK196 0.0025595611850367022 0.002559561185036712 0.005119122370073415
MAPK9 0.0025460676065074887 0.0025460676065074744 0.005092135213014963
ZFAND2A 0.002539505266020664 0.0025395052660207107 0.005079010532041375
HAPLN2 0.0025388129104639977 0.0025388129104640562 0.0050776258209280535
UBE2H 0.0025191539460639283 0.00251915394606403 0.005038307892127959
GRHL2 0.0025150333425161585 0.0025150333425161633 0.005030066685032322
ZFP62 0.00250968405723851 0.002509684057238561 0.005019368114477071
DLEU7 0.002489328491900019 0.0024893284919000084 0.004978656983800027
SMCR7 0.0024850973425171547 0.0024850973425171764 0.004970194685034331
HEG1 0.002479732306844362 0.002479732306844346 0.004959464613688708
OSBPL8 0.002475858177876495 0.00247585817787654 0.004951716355753035
