 G2 G3 sum
KCNQ1 0.012438500598944094 0.01243850059894412 0.024877001197888216
SLC6A6 0.0074630530432735235 0.007463053043273447 0.01492610608654697
PAPLN 0.00673136266864463 0.006731362668644808 0.013462725337289438
OR8B4 0.006408741376434997 0.006408741376434957 0.012817482752869954
NEDD1 0.0060959549243773305 0.006095954924377357 0.012191909848754689
PYGO1 0.005902959976498108 0.005902959976498037 0.011805919952996145
C17orf69 0.0058916057985287885 0.00589160579852883 0.011783211597057619
HOXD4 0.005590967335067807 0.005590967335067725 0.011181934670135531
CES4 0.005574974809635598 0.005574974809635577 0.011149949619271175
BMP4 0.005286188017041383 0.0052861880170413985 0.010572376034082781
RAB22A 0.005242619733648037 0.005242619733648089 0.010485239467296126
ITM2C 0.005165410553817166 0.005165410553817176 0.010330821107634343
TRAF2 0.005023864635598818 0.005023864635598892 0.01004772927119771
ITPKB 0.004758935896008382 0.004758935896008353 0.009517871792016734
NAPSB 0.004755392910516985 0.004755392910516966 0.009510785821033952
COLEC11 0.004636223607246047 0.004636223607246094 0.00927244721449214
ZFHX3 0.004632525679607246 0.004632525679607296 0.009265051359214542
C4orf31 0.004542586582357862 0.0045425865823579496 0.009085173164715812
C15orf26 0.004538220651467208 0.004538220651467251 0.00907644130293446
RRBP1 0.004450327323866373 0.004450327323866332 0.008900654647732705
NDN 0.004366803105715439 0.004366803105715451 0.00873360621143089
MIR10B 0.004364596891582969 0.0043645968915828805 0.00872919378316585
C9orf27 0.004362600349592546 0.0043626003495925185 0.008725200699185065
DHX57 0.004315756738875932 0.0043157567388759435 0.008631513477751877
ATPGD1 0.00428183995722584 0.004281839957225897 0.008563679914451738
NUMA1 0.004281676477573329 0.0042816764775733835 0.008563352955146711
PRR13 0.004274537993403477 0.0042745379934034525 0.00854907598680693
YWHAZ 0.004248556807018098 0.004248556807018183 0.00849711361403628
ATP5O 0.004246212947271688 0.004246212947271706 0.008492425894543394
C1orf77 0.004238612503984747 0.004238612503984692 0.008477225007969439
LDHB 0.004192455394724964 0.0041924553947249015 0.008384910789449865
DSE 0.004180903764368088 0.004180903764368125 0.008361807528736213
MEI1 0.004177839587876918 0.0041778395878768046 0.008355679175753722
ICK 0.004177627392636149 0.004177627392636143 0.008355254785272291
ENO1 0.004149466622250042 0.00414946662224997 0.008298933244500012
RPL18AP3 0.00412259449359763 0.0041225944935975286 0.00824518898719516
SLC2A8 0.0041038612958826945 0.004103861295882758 0.008207722591765453
SLC44A5 0.00410144107759773 0.004101441077597785 0.008202882155195514
OVOL1 0.004054545210658664 0.004054545210658639 0.008109090421317303
CLCC1 0.004050830572944935 0.004050830572944935 0.00810166114588987
CDKL2 0.0038821446837169716 0.00388214468371697 0.0077642893674339415
TRPM1 0.0038319007943448885 0.003831900794344826 0.007663801588689715
SERPINE2 0.0037046284903645013 0.003704628490364491 0.007409256980728992
BOLL 0.0036910871698913965 0.003691087169891366 0.007382174339782763
ZPBP 0.003593955724775675 0.0035939557247757123 0.007187911449551387
E2F6 0.003552062211738536 0.0035520622117384097 0.007104124423476946
HEG1 0.003518848333651897 0.0035188483336518867 0.007037696667303784
TMEM188 0.0034358055640266185 0.0034358055640266298 0.006871611128053248
DBNDD2 0.0034169332940147527 0.0034169332940148143 0.006833866588029567
FGL1 0.0033960923279734018 0.003396092327973441 0.006792184655946843
PDE2A 0.003314722534765354 0.0033147225347654 0.006629445069530754
GRHL2 0.0033125987052351437 0.003312598705235074 0.006625197410470218
TMEM51 0.0032519265037897213 0.003251926503789695 0.006503853007579417
S100A2 0.0032384274879550174 0.003238427487955006 0.006476854975910024
ISL2 0.003180708066721201 0.0031807080667211655 0.0063614161334423665
ZNF131 0.00317753940366645 0.003177539403666544 0.006355078807332994
CRYGD 0.003171056257440271 0.003171056257440299 0.00634211251488057
INADL 0.0031153165501879134 0.003115316550187922 0.006230633100375835
PAX6 0.003064953152093272 0.003064953152093251 0.006129906304186522
DUSP10 0.0030441666525224402 0.00304416665252244 0.00608833330504488
IVD 0.003021395287833893 0.003021395287834046 0.00604279057566794
PITX3 0.0029782513375232237 0.0029782513375230944 0.005956502675046318
C17orf85 0.0029290579395737358 0.002929057939573757 0.005858115879147493
FAM84B 0.002913137613156641 0.0029131376131566675 0.005826275226313309
HOXD3 0.0028869021395455394 0.0028869021395455897 0.005773804279091129
SLC25A46 0.0028727861316534434 0.002872786131653347 0.0057455722633067904
SEPT8 0.002869045104886811 0.002869045104886884 0.0057380902097736945
GALNTL4 0.002853246711289838 0.002853246711289816 0.0057064934225796535
ABCA4 0.002851888497503275 0.0028518884975032893 0.005703776995006564
MGAT4A 0.0028161375180104547 0.0028161375180104026 0.005632275036020857
ST8SIA3 0.0028073841819549255 0.002807384181954944 0.00561476836390987
NCK2 0.0027858208573878955 0.0027858208573879393 0.0055716417147758344
AGAP11 0.002783211076091759 0.0027832110760918458 0.005566422152183605
NCOA6 0.0027698013685394833 0.0027698013685394903 0.005539602737078974
RABIF 0.0027640785987580923 0.0027640785987581417 0.005528157197516234
HACE1 0.002753412705261794 0.0027534127052617793 0.005506825410523573
LOC340017 0.0027473238889848327 0.0027473238889848734 0.005494647777969706
OR8D1 0.0026693842410127236 0.0026693842410126963 0.00533876848202542
RUNX3 0.00263440434161047 0.002634404341610351 0.005268808683220821
CXCL16 0.0025961948208799027 0.0025961948208798936 0.005192389641759797
FLYWCH2 0.002575140691727408 0.0025751406917273985 0.005150281383454807
MGC13005 0.0025352293935190693 0.0025352293935190823 0.005070458787038152
PRR14 0.0025117920232691406 0.0025117920232691883 0.005023584046538329
VAX2 0.002485287134075027 0.0024852871340750567 0.004970574268150084
LOC648691 0.0024809685142598474 0.0024809685142598583 0.004961937028519705
LOC100128675 0.002478282867713828 0.00247828286771386 0.004956565735427688
SGK196 0.00245660917748368 0.0024566091774836742 0.004913218354967355
MMP12 0.0024139955495755595 0.0024139955495755894 0.004827991099151149
HMGB1 0.0024132231086666533 0.00241322310866661 0.004826446217333263
GGN 0.0024102244721175606 0.002410224472117515 0.004820448944235075
TMEM39B 0.0024088342356988848 0.002408834235698919 0.004817668471397803
SFRS3 0.0023993271470456184 0.0023993271470455135 0.004798654294091132
LMO3 0.002394089013018866 0.002394089013018883 0.004788178026037749
USP53 0.002357079470354381 0.002357079470354464 0.004714158940708845
DMP1 0.002343108626268035 0.002343108626268044 0.004686217252536078
OSR2 0.0023426451911471298 0.002342645191147185 0.004685290382294314
FAM195B 0.002334795474846439 0.002334795474846478 0.004669590949692917
FAM120B 0.00232982697810357 0.0023298269781035436 0.004659653956207113
CYP1A2 0.0023238152519618675 0.0023238152519618168 0.004647630503923684
APOL3 0.0023128456137971477 0.0023128456137970974 0.004625691227594245
SPAG6 0.0023011314690789832 0.002301131469079002 0.004602262938157985
ZNF248 0.0022997488649086654 0.0022997488649086077 0.004599497729817274
KLHDC2 0.0022984876772938374 0.002298487677293861 0.004596975354587698
PRKAB2 0.0022740184859845435 0.0022740184859846 0.004548036971969143
ACOX3 0.0022718207625857852 0.002271820762585792 0.004543641525171577
BLVRA 0.0022513643513450967 0.0022513643513450855 0.004502728702690182
LIME1 0.002242952695895673 0.002242952695895711 0.004485905391791384
MAPK9 0.0022298322771012315 0.0022298322771011473 0.004459664554202379
SGCE 0.0022278461892595485 0.0022278461892595415 0.00445569237851909
HIST2H2BF 0.0022213279364290094 0.0022213279364290176 0.004442655872858027
RILP 0.0021940266574321118 0.002194026657432128 0.00438805331486424
MKNK2 0.002189782482486355 0.002189782482486263 0.004379564964972618
STAT3 0.0021614535919541643 0.0021614535919542172 0.0043229071839083815
GSTM5 0.0021551368738130633 0.0021551368738130334 0.004310273747626096
LOXL3 0.002136263216444313 0.0021362632164443124 0.004272526432888625
RBM47 0.002128285232098924 0.002128285232098918 0.004256570464197842
PIGB 0.0021214938936340902 0.002121493893634076 0.004242987787268166
HNRNPF 0.00210892720795716 0.002108927207957162 0.004217854415914322
ZNF263 0.002097899335753127 0.0020978993357530385 0.0041957986715061655
CMTM6 0.0020936551512290825 0.002093655151229126 0.004187310302458208
DLEU7 0.002082240262177536 0.002082240262177538 0.004164480524355074
MELK 0.002080226596678526 0.0020802265966785006 0.004160453193357026
RANGAP1 0.0020734338411086232 0.002073433841108655 0.004146867682217278
MTIF3 0.0020619301765304977 0.002061930176530489 0.004123860353060987
CDX2 0.00205712849615551 0.0020571284961555477 0.004114256992311058
ZFP62 0.0020546282943119084 0.002054628294311863 0.004109256588623772
DSCR6 0.0020361210920403256 0.00203612109204007 0.004072242184080395
SIRT1 0.0020343226900666487 0.0020343226900666474 0.004068645380133296
HOXC4 0.0020198465668835553 0.00201984656688356 0.004039693133767116
OSBPL8 0.00201166575312753 0.0020116657531275804 0.0040233315062551105
POLR3C 0.0020078282295915096 0.0020078282295915443 0.004015656459183054
GNRH2 0.002005117737395485 0.0020051177373954566 0.004010235474790942
CDC42SE2 0.0020021742389458256 0.0020021742389456317 0.004004348477891457
CDCA4 0.001989070101832338 0.0019890701018323775 0.003978140203664715
P4HA1 0.0019844183301419094 0.0019844183301419576 0.003968836660283867
RPRM 0.0019841055843682334 0.00198410558436819 0.003968211168736423
CYB5R2 0.0019822259502881665 0.0019822259502884102 0.003964451900576577
RPL7 0.0019656105013158127 0.0019656105013159024 0.003931221002631715
CRHR2 0.0019465275837494231 0.0019465275837494303 0.0038930551674988536
ANKRD13B 0.001939834108295404 0.0019398341082953556 0.0038796682165907594
VPS13B 0.001937924177247773 0.0019379241772477479 0.003875848354495521
ZMIZ1 0.001936179759245708 0.0019361797592457003 0.0038723595184914084
MRPS23 0.0019293316353110757 0.0019293316353110983 0.003858663270622174
REST 0.0019190580466365813 0.0019190580466364917 0.003838116093273073
ABHD12B 0.0019174343729816382 0.0019174343729816672 0.0038348687459633054
RFWD2 0.0019002732926051667 0.0019002732926051448 0.0038005465852103118
NSUN4 0.0019002622027850021 0.0019002622027850494 0.0038005244055700515
ZFAND2A 0.001893124069681159 0.0018931240696812332 0.003786248139362392
DMRT3 0.0018830332478590333 0.001883033247858938 0.0037660664957179712
VDAC1 0.0018799476692672238 0.0018799476692672062 0.0037598953385344297
SMCR7 0.0018798679512346751 0.001879867951234728 0.003759735902469403
UBE2H 0.0018783217402769561 0.0018783217402769225 0.0037566434805538784
UBTF 0.0018664871071447462 0.0018664871071447692 0.0037329742142895154
FAM186A 0.0018656834404682909 0.0018656834404682412 0.003731366880936532
HMGCR 0.0018654753019916568 0.0018654753019916829 0.0037309506039833397
C16orf57 0.001855160834629359 0.0018551608346292687 0.0037103216692586276
PDZD8 0.0018466782344717513 0.0018466782344717287 0.00369335646894348
MIR376B 0.0018452032249949165 0.0018452032249948688 0.0036904064499897853
MIR1178 0.0018414849191986903 0.0018414849191987048 0.0036829698383973953
TIGD1 0.0018403651793342534 0.0018403651793342502 0.003680730358668504
ANG 0.0018295479143957468 0.001829547914395789 0.0036590958287915356
RPTOR 0.0018277140775440081 0.0018277140775439815 0.00365542815508799
XPNPEP1 0.0018174686370981054 0.00181746863709812 0.003634937274196225
DDIT3 0.0018146093761839464 0.001814609376183993 0.0036292187523679397
ACBD5 0.0018129494192305675 0.00181294941923059 0.0036258988384611575
ZCCHC3 0.0018124191454475993 0.0018124191454476142 0.0036248382908952133
STAG3 0.00181010341755651 0.0018101034175564926 0.0036202068351130026
RPN1 0.0018088055820563483 0.0018088055820563477 0.0036176111641126963
ELMO1 0.0018046741107161114 0.001804674110716165 0.0036093482214322762
PLCG1 0.0017931210416297512 0.001793121041629573 0.0035862420832593243
RBAK 0.0017907197763399022 0.0017907197763398885 0.0035814395526797905
FREM1 0.001778379096112924 0.0017783790961129263 0.00355675819222585
MTMR14 0.0017759960482966 0.001775996048296584 0.003551992096593184
ALPL 0.0017729447265188588 0.001772944726518873 0.003545889453037732
SPRY4 0.001769029667173861 0.0017690296671738419 0.003538059334347703
MYH10 0.0017651526870900345 0.0017651526870900206 0.003530305374180055
DMRTA2 0.0017592649184986799 0.001759264918498733 0.0035185298369974126
SGPL1 0.0017419165392623484 0.0017419165392624635 0.003483833078524812
PLA2G2A 0.0017405065360232175 0.0017405065360232446 0.0034810130720464624
MUM1 0.0017348451473843418 0.001734845147384347 0.0034696902947686887
CNIH4 0.0017347181980428574 0.001734718198042954 0.003469436396085811
